name,college,major,paper
赵丹群,北京大学,图书情报与数字图书馆;互联网技术;科学研究管理;,文献计量范式下的科学知识图谱研究：新进展与新挑战
翟姗姗,华中师范大学,图书情报与数字图书馆;新闻与传媒;文化;,基于医学知识图谱的慢性病在线医疗社区分面检索研究
潘英增,华中师范大学,医学教育与医学边缘学科;图书情报与数字图书馆;医药卫生方针政策与法律法规研究;,基于医学知识图谱的慢性病在线医疗社区分面检索研究
胡畔,华中师范大学,图书情报与数字图书馆;医学教育与医学边缘学科;新闻与传媒;,基于医学知识图谱的慢性病在线医疗社区分面检索研究
郑路,华中师范大学,图书情报与数字图书馆;新闻与传媒;医药卫生方针政策与法律法规研究;,基于医学知识图谱的慢性病在线医疗社区分面检索研究
廖子慧,北京林业大学,计算机软件及计算机应用;自动化技术;外国语言文字;,基于知识图谱的英语语法智能题库系统研建
陈晓军,同济大学,计算机软件及计算机应用;企业经济;,企业风险知识图谱的构建及应用
向阳,同济大学,计算机软件及计算机应用;自动化技术;互联网技术;,企业风险知识图谱的构建及应用
刘宾楚,东南大学,计算机软件及计算机应用;,知识图谱中的多元关系挖掘方法研究与实现
阮光册,华东师范大学,图书情报与数字图书馆;计算机软件及计算机应用;新闻与传媒;,知识图谱在实体检索中的应用研究综述
樊宇航,华东师范大学,图书情报与数字图书馆;教育理论与教育管理;中等教育;,知识图谱在实体检索中的应用研究综述
夏磊,上海图书馆,图书情报与数字图书馆;计算机软件及计算机应用;新闻与传媒;,知识图谱在实体检索中的应用研究综述
秦川,中国科学技术大学,电信技术;计算机软件及计算机应用;电力工业;,基于知识图谱的推荐系统研究综述
祝恒书,北京百度网讯科技有限公司,计算机软件及计算机应用;电力工业;计算机硬件技术;,基于知识图谱的推荐系统研究综述
庄福振,中国科学院,计算机软件及计算机应用;电力工业;计算机硬件技术;,基于知识图谱的推荐系统研究综述
郭庆宇,中国科学院大学,计算机硬件技术;临床医学;计算机软件及计算机应用;,基于知识图谱的推荐系统研究综述
张琦,百度在线网络技术(北京)有限公司,计算机软件及计算机应用;电力工业;仪器仪表工业;,基于知识图谱的推荐系统研究综述
张乐,中国科学技术大学,电信技术;计算机软件及计算机应用;电力工业;,基于知识图谱的推荐系统研究综述
王超,中国科学技术大学,计算机硬件技术;计算机软件及计算机应用;电力工业;,基于知识图谱的推荐系统研究综述
陈恩红,中国科学技术大学,计算机软件及计算机应用;电力工业;自动化技术;,基于知识图谱的推荐系统研究综述
熊辉,北京百度网讯科技有限公司,电力工业;计算机软件及计算机应用;化学;,基于知识图谱的推荐系统研究综述
杨清清,东南大学,计算机软件及计算机应用;图书情报与数字图书馆;,基于网络角色的知识图谱实体嵌入方法的研究与实现
董洪伟,北京林业大学,计算机软件及计算机应用;一般服务业;,基于知识图谱的菜品推荐系统
饶子昀,中国船舶重工集团公司武汉数字工程研究所,电力工业;计算机软件及计算机应用;图书情报与数字图书馆;,应用知识图谱的推荐方法与系统
张毅,哈尔滨工程大学,电力工业;计算机软件及计算机应用;电信技术;,应用知识图谱的推荐方法与系统
